
00010.5611	00220.0511	00000.0412	00010.6457	00223.4085	00000.0869
00011.5431	00220.0572	00000.0512	00011.6720	00222.6419	00000.0926
00013.3302	00220.0551	00000.0512	00013.7536	00223.1952	00000.0970
00014.2991	00220.0542	00000.0512	00014.5190	00223.1952	00000.1003
00015.6312	00220.0582	00000.0612	00015.7679	00223.1952	00000.1021
00016.5892	00220.0532	00000.0612	00016.7146	00223.7247	00000.1078
00018.3992	00220.0502	00000.0712	00018.8310	00223.1952	00000.1124
00020.2972	00220.0472	00000.0712	00020.6792	00223.1952	00000.1195
00021.2692	00220.0572	00000.0811	00021.6210	00223.6191	00000.1223
00023.0592	00220.0462	00000.0811	00023.4288	00222.6682	00000.1284
00025.3341	00220.0531	00000.0911	00025.6733	00222.6682	00000.1375
00026.3152	00220.0522	00000.1011	00026.7545	00222.9844	00000.1412
00028.1412	00220.0512	00000.1011	00028.5609	00223.7247	00000.1498
00030.0072	00220.0552	00000.1112	00030.5799	00223.1952	00000.1571
00032.8132	00220.0602	00000.1212	00033.2424	00223.1952	00000.1685
00033.7632	00220.0562	00000.1312	00034.3426	00222.1436	00000.1728
00036.0392	00220.0502	00000.1412	00036.6472	00223.1952	00000.1824
00037.8402	00220.0552	00000.1412	00038.3166	00223.1425	00000.1894
00038.8252	00220.0582	00000.1512	00039.3534	00222.9852	00000.1937
00051.7712	00220.0645	00000.2012	00052.6224	00222.1436	00000.2482
00061.4212	00220.0478	00000.2412	00062.3899	00222.6682	00000.2911
00071.2112	00220.0511	00000.2912	00072.2842	00222.6682	00000.3345
00080.8912	00220.0511	00000.3312	00082.0383	00222.6682	00000.3779
00102.3011	00220.0511	00000.4312	00103.8300	00222.9314	00000.4748
00131.4012	00220.0478	00000.5612	00133.2891	00222.4059	00000.6078
00140.1912	00220.0578	00000.6011	00142.2193	00222.6682	00000.6478
00488.3545	00220.0478	00002.1812	00494.8422	00222.3535	00002.2485
00970.9145	00220.0645	00004.3712	00981.9181	00221.8823	00004.4699
01451.2812	00220.0478	00006.5612	01463.3057	00221.3615	00006.6854
01933.4712	00220.0478	00008.7512	01944.7560	00221.1541	00008.9122
00000.8672	00220.0522	00000.0312	01583.9902	00223.1952	00000.0914

00000.7332	00109.9952	00000.0011	00000.6291	00111.2684	00000.0518
00001.1672	00109.9952	00000.0011	00001.0770	00111.2422	00000.0518
00001.4272	00109.9992	00000.0011	00001.3688	00111.2947	00000.0521
00001.9872	00109.9962	00000.0112	00001.9147	00111.2684	00000.0522
00002.4461	00109.9952	00000.0112	00002.4186	00111.2356	00000.0526
00002.9002	00109.9982	00000.0112	00002.8095	00111.3604	00000.0534
00003.1332	00109.9972	00000.0112	00003.0465	00111.2422	00000.0558
00003.5912	00109.9952	00000.0112	00003.5372	00111.3144	00000.0556
00003.8272	00109.9962	00000.0112	00003.8464	00111.1834	00000.0576
00004.1672	00109.9932	00000.0212	00004.1369	00111.2620	00000.0635
00004.4352	00109.9962	00000.0212	00004.3698	00111.4262	00000.0647
00004.8752	00109.9942	00000.0212	00004.8431	00111.3275	00000.0649
00005.3271	00109.9942	00000.0212	00005.2623	00111.2684	00000.0656
00005.5692	00109.9962	00000.0212	00005.5188	00111.2684	00000.0668
00006.0212	00109.9912	00000.0312	00006.0734	00111.2684	00000.0744
00006.6182	00109.9962	00000.0312	00006.5384	00111.0718	00000.0754
00006.8652	00109.9932	00000.0312	00006.8503	00111.1307	00000.0756
00007.3172	00109.9942	00000.0412	00007.3199	00111.3144	00000.0822
00007.7872	00109.9962	00000.0412	00007.7234	00111.3341	00000.0839
00008.4572	00109.9942	00000.0412	00008.4361	00111.3341	00000.0918
00008.7271	00109.9962	00000.0512	00008.6989	00111.0718	00000.0924
00009.2832	00109.9952	00000.0512	00009.2923	00111.0718	00000.0963
00009.7412	00109.9992	00000.0512	00009.7382	00111.2684	00000.0994
00009.9951	00109.9962	00000.0612	00009.9904	00111.1898	00000.1002
00013.2212	00109.9978	00000.0811	00013.3273	00111.0718	00000.1279
00015.7012	00109.9945	00000.1012	00015.6894	00111.2028	00000.1491
00018.0611	00109.9978	00000.1278	00018.1707	00111.2684	00000.1706
00020.4811	00109.9945	00000.1512	00020.6282	00111.2881	00000.1924
00025.8311	00109.9945	00000.1912	00026.0374	00111.2028	00000.2400
00033.1412	00109.9945	00000.2612	00033.4133	00111.2028	00000.3056
00035.3312	00109.9945	00000.2812	00035.6265	00111.0064	00000.3257
00122.3011	00110.0011	00001.0712	00123.4019	00110.9216	00001.1228
00243.2011	00110.0011	00002.1711	00244.8926	00110.6677	00002.2348
00363.4511	00109.9945	00003.2612	00365.3990	00110.3569	00003.3423
00484.1712	00110.0011	00004.3612	00486.1705	00110.0992	00004.4548
00000.4992	00109.9992	00000.0011	00000.0000	00000.0000	00000.0000

00000.7271	00109.9962	00000.0011	00000.6383	00111.2028	00000.0516
00001.1842	00109.9992	00000.0011	00001.0992	00111.3852	00000.0518
00001.4152	00109.9962	00000.0011	00001.1904	00111.1898	00000.0519
00001.9972	00109.9932	00000.0112	00001.9238	00111.3341	00000.0523
00002.4411	00109.9952	00000.0112	00002.1356	00111.3078	00000.0527
00002.8992	00109.9942	00000.0112	00002.8618	00111.3998	00000.0539
00003.1392	00109.9952	00000.0112	00003.0827	00111.3341	00000.0553
00003.6092	00109.9972	00000.0112	00003.5728	00111.3998	00000.0549
00003.8452	00109.9932	00000.0112	00003.8058	00111.4525	00000.0615
00004.1832	00109.9962	00000.0212	00004.1320	00111.1898	00000.0638
00004.4292	00109.9962	00000.0212	00004.3899	00111.1505	00000.0647
00004.8632	00109.9952	00000.0212	00004.8338	00111.1897	00000.0651
00005.3202	00109.9972	00000.0212	00005.3072	00111.1373	00000.0655
00005.5872	00109.9972	00000.0212	00005.5343	00111.3078	00000.0670
00006.0392	00109.9942	00000.0312	00006.0344	00111.3275	00000.0745
00006.6322	00109.9942	00000.0312	00006.6105	00111.3341	00000.0752
00006.8412	00109.9932	00000.0312	00006.8529	00111.3341	00000.0761
00007.3111	00109.9961	00000.0412	00007.2942	00111.2028	00000.0825
00007.7812	00109.9992	00000.0412	00007.7753	00111.2292	00000.0837
00008.4752	00109.9972	00000.0412	00008.4486	00111.2028	00000.0921
00008.7102	00109.9962	00000.0512	00008.7618	00111.2947	00000.0925
00009.2831	00109.9972	00000.0512	00009.3409	00111.1373	00000.0956
00009.6992	00109.9962	00000.0512	00009.7551	00111.1504	00000.1000
00009.9731	00109.9942	00000.0612	00009.9998	00111.2684	00000.1002
00013.2012	00109.9912	00000.0811	00013.3130	00111.3341	00000.1276
00015.6412	00109.9912	00000.1012	00015.7141	00111.2028	00000.1496
00018.0611	00109.9945	00000.1312	00018.2034	00111.2750	00000.1709
00020.5211	00110.0011	00000.1512	00020.6353	00111.3407	00000.1926
00025.8711	00109.9945	00000.1912	00026.0817	00111.2684	00000.2399
00033.1812	00109.9978	00000.2612	00033.4699	00111.2684	00000.3058
00035.3512	00109.9945	00000.2812	00035.6572	00111.1373	00000.3256
00122.6311	00109.9945	00001.0712	00123.8454	00110.8369	00001.1255
00243.5711	00109.9912	00002.1711	00245.4771	00110.4991	00002.2367
00363.6512	00109.9978	00003.2612	00365.6726	00110.4474	00003.3423
00484.4112	00110.0011	00004.3612	00486.2520	00110.0994	00004.4548
00000.4872	00109.9962	00000.0011	00000.0000	00000.0000	00000.0000

00000.7331	00109.9982	00000.0011	00000.6338	00111.2684	00000.0518
00001.1792	00109.9952	00000.0011	00000.9491	00111.1504	00000.0518
00001.4032	00109.9942	00000.0032	00001.3442	00111.2684	00000.0518
00002.0042	00109.9962	00000.0112	00001.9093	00111.1636	00000.0528
00002.4352	00109.9952	00000.0112	00002.3758	00111.3998	00000.0528
00002.8992	00109.9952	00000.0112	00002.8259	00111.2684	00000.0545
00003.1452	00109.9952	00000.0112	00003.0997	00111.3998	00000.0539
00003.6092	00109.9942	00000.0112	00003.5596	00111.2684	00000.0559
00003.8572	00109.9972	00000.0112	00003.8491	00111.2619	00000.0608
00004.1732	00109.9932	00000.0212	00004.1717	00111.2618	00000.0638
00004.4112	00109.9942	00000.0212	00004.4044	00111.3867	00000.0648
00004.8872	00109.9962	00000.0212	00004.8288	00111.3998	00000.0653
00005.3272	00109.9962	00000.0212	00005.3309	00111.3998	00000.0654
00005.5752	00109.9992	00000.0212	00005.5452	00111.3998	00000.0665
00006.0392	00109.9932	00000.0312	00006.0062	00111.2028	00000.0743
00006.6062	00109.9952	00000.0312	00006.5910	00111.2815	00000.0753
00006.8412	00109.9992	00000.0312	00006.8897	00111.2028	00000.0761
